binomial,kingdom,phylum,class,order,family,genus,species
Calochortus argillosus,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,argillosus
Callicarpa pedunculata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Callicarpa,pedunculata
Tradescantia zebrina,Plantae,Tracheophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,zebrina
Asphodelus ramosus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asphodelaceae,Asphodelus,ramosus
Crassula setulosa,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,setulosa
Pellaea andromedifolia,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,andromedifolia
Morus rubra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,rubra
Culaea inconstans,Animalia,Chordata,Actinopterygii,Perciformes,Gasterosteidae,Culaea,inconstans
Yucca treculeana,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Yucca,treculeana
Boissonneaua flavescens,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Boissonneaua,flavescens
Arrhenatherum elatius,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Arrhenatherum,elatius
Girella zebra,Animalia,Chordata,Actinopterygii,Centrarchiformes,Girellidae,Girella,zebra
Acanthopale madagascariensis,Animalia,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Acanthopale,madagascariensis
Gymnadenia rhellicani,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Gymnadenia,rhellicani
Abudefduf vaigiensis,Animalia,Chordata,Teleostei,Perciformes,Pomacentridae,Abudefduf,vaigiensis
Isonychus pictus,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Isonychus,pictus
Bulgaria inquinans,Fungi,Ascomycota,Leotiomycetes,Leotiales,Bulgariaceae,Bulgaria,inquinans
Cortaderia selloana,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Cortaderia,selloana
Iris virginica,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,virginica
Ficus erecta,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,erecta
Microcanthus strigatus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Microcanthidae,Microcanthus,strigatus
Calochortus catalinae,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,catalinae
Lepomis macrochirus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Centrarchidae,Lepomis,macrochirus
Colocasia esculenta,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Colocasia,esculenta
Mertensia paniculata,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Mertensia,paniculata
Eupetomena macroura,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eupetomena,macroura
Euphoria inda,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Euphoria,inda
Butomus umbellatus,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Butomaceae,Butomus,umbellatus
Carex spicata,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,spicata
Collinsia torreyi,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Collinsia,torreyi
Labroides dimidiatus,Animalia,Chordata,Actinopterygii,Labriformes,Labridae,Labroides,dimidiatus
Carex digitata,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,digitata
Zephyranthes drummondii,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Zephyranthes,drummondii
Typha domingensis,Plantae,Tracheophyta,Magnoliopsida,Poales,Typhaceae,Typha,domingensis
Mortonia scabrella,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Mortonia,scabrella
Commelina virginica,Plantae,Tracheophyta,Magnoliopsida,Commelinales,Commelinaceae,Commelina,virginica
Ixia rapunculoides,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Ixia,rapunculoides
Allium triquetrum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,triquetrum
Fritillaria biflora,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Fritillaria,biflora
Pieris japonica,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,japonica
Luxilus chrysocephalus,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Luxilus,chrysocephalus
Muscari neglectum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Muscari,neglectum
Triantha glutinosa,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Tofieldiaceae,Triantha,glutinosa
Potamogeton perfoliatus,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Potamogetonaceae,Potamogeton,perfoliatus
Tinantia anomala,Plantae,Tracheophyta,Magnoliopsida,Commelinales,Commelinaceae,Tinantia,anomala
Streptopus amplexifolius,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Streptopus,amplexifolius
Platanthera elegans,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,elegans
Pellaea dura,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea,dura
Mortonia utahensis,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Mortonia,utahensis
Juncus acutus,Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,Juncus,acutus
Iris unguicularis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,unguicularis
Scadoxus puniceus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Scadoxus,puniceus
Calochortus clavatus,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,clavatus
Dipodium roseum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Dipodium,roseum
Yucca elata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Yucca,elata
Salix exigua,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Salix,exigua
Staphylaea limacina,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Staphylaea,limacina
Lepomis auritus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Centrarchidae,Lepomis,auritus
Imperata cylindrica,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Imperata,cylindrica
Tridens albescens,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Tridens,albescens
Calochortus kennedyi,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,kennedyi
Sparganium eurycarpum,Plantae,Tracheophyta,Magnoliopsida,Poales,Typhaceae,Sparganium,eurycarpum
Lumbricus terrestris,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,terrestris
Schuettea scalaripinnis,Animalia,Chordata,Teleostei,Perciformes,Monodactylidae,Schuettea,scalaripinnis
Viburnum lentago,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,lentago
Carex sprengelii,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,sprengelii
Carex squarrosa,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,squarrosa
Heliconia psittacorum,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Heliconiaceae,Heliconia,psittacorum
Quadrella cynophallophora,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Quadrella,cynophallophora
Anacamptis coriophora,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anacamptis,coriophora
